Part No.,Nominal cross section mm²,Stud hole,Kind of connection,Connecting material,IEC Certification,UL Certification,DNV-GL Certification,Cable Class 1,Cable Class 2,Cable Class 5,Cable Class 6,K50 Serie,K4 serie,K22 Serie,K13 Serie,K15 Serie,K25 Serie,K5,K05,K06,K95,K09,K02,K2,K93,K94,EK30IDML,EK60VP,EKM60ID,EK60VPFT,EK120ID,Image URL
95R4,6,4,Cable lug,"Tubular cable lugs, CU, standard type",,x,x,,,x,,x,x,x,,,,x,x,x,,,,x,,,x,,,,,https://cdn.klauke.com/resources/images/74F602CA-0739-4B02-9735-F4ED01FEB019
95R5,6,5,Cable lug,"Tubular cable lugs, CU, standard type",,x,x,,,x,,x,x,x,,,,x,x,x,,,,x,,,x,,,,,https://cdn.klauke.com/resources/images/EBA79F75-9DD1-44DB-9DCE-4BDAA6EC7631
95R6,6,6,Cable lug,"Tubular cable lugs, CU, standard type",,x,x,,,x,,x,x,x,,,,x,x,x,,,,x,,,x,,,,,https://cdn.klauke.com/resources/images/EBA79F75-9DD1-44DB-9DCE-4BDAA6EC7631
95R8,6,8,Cable lug,"Tubular cable lugs, CU, standard type",,x,x,,,x,,x,x,x,,,,x,x,x,,,,x,,,x,,,,,https://cdn.klauke.com/resources/images/EBA79F75-9DD1-44DB-9DCE-4BDAA6EC7631
95C4,6,4,Cable lug,"Tubular cable lugs, CU, fork type",,x,x,,,x,,x,x,x,,,,x,x,x,,,,x,,,x,,,,,https://cdn.klauke.com/resources/images/836A24ED-D9BA-4228-A60C-AB5EB364B066
95C5,6,5,Cable lug,"Tubular cable lugs, CU, fork type",,x,x,,,x,,x,x,x,,,,x,x,x,,,,x,,,x,,,,,https://cdn.klauke.com/resources/images/836A24ED-D9BA-4228-A60C-AB5EB364B066
95C6,6,6,Cable lug,"Tubular cable lugs, CU, fork type",,x,x,,,x,,x,x,x,,,,x,x,x,,,,x,,,x,,,,,https://cdn.klauke.com/resources/images/836A24ED-D9BA-4228-A60C-AB5EB364B066
95C8,6,8,Cable lug,"Tubular cable lugs, CU, fork type",,x,x,,,x,,x,x,x,,,,x,x,x,,,,x,,,x,,,,,https://cdn.klauke.com/resources/images/836A24ED-D9BA-4228-A60C-AB5EB364B066
1R5,6,5,Cable lug,"Tubular cable lugs, CU, standard type with and without inspection hole",x,x,x,,x,,,x,x,x,,,,x,x,x,,,,x,,,x,,,,,https://cdn.klauke.com/resources/images/87EB606C-CCEC-489D-9C66-A77C2D6F9802
1R5MS,6,5,Cable lug,"Tubular cable lugs, CU, standard type with and without inspection hole",x,x,x,,x,,,x,x,x,,,,x,x,x,,,,x,,,x,,,,,https://cdn.klauke.com/resources/images/333CE33E-4224-4A60-80AF-4B4773C4AA9D
1R6,6,6,Cable lug,"Tubular cable lugs, CU, standard type with and without inspection hole",x,x,x,,x,,,x,x,x,,,,x,x,x,,,,x,,,x,,,,,https://cdn.klauke.com/resources/images/87EB606C-CCEC-489D-9C66-A77C2D6F9802
1R6MS,6,6,Cable lug,"Tubular cable lugs, CU, standard type with and without inspection hole",x,x,x,,x,,,x,x,x,,,,x,x,x,,,,x,,,x,,,,,https://cdn.klauke.com/resources/images/333CE33E-4224-4A60-80AF-4B4773C4AA9D
1R8,6,8,Cable lug,"Tubular cable lugs, CU, standard type with and without inspection hole",x,x,x,,x,,,x,x,x,,,,x,x,x,,,,x,,,x,,,,,https://cdn.klauke.com/resources/images/87EB606C-CCEC-489D-9C66-A77C2D6F9802
1R8MS,6,8,Cable lug,"Tubular cable lugs, CU, standard type with and without inspection hole",x,x,x,,x,,,x,x,x,,,,x,x,x,,,,x,,,x,,,,,https://cdn.klauke.com/resources/images/333CE33E-4224-4A60-80AF-4B4773C4AA9D
1R10,6,10,Cable lug,"Tubular cable lugs, CU, standard type with and without inspection hole",x,x,x,,x,,,x,x,x,,,,x,x,x,,,,x,,,x,,,,,https://cdn.klauke.com/resources/images/87EB606C-CCEC-489D-9C66-A77C2D6F9802
1R10MS,6,10,Cable lug,"Tubular cable lugs, CU, standard type with and without inspection hole",x,x,x,,x,,,x,x,x,,,,x,x,x,,,,x,,,x,,,,,https://cdn.klauke.com/resources/images/333CE33E-4224-4A60-80AF-4B4773C4AA9D
1R12,6,12,Cable lug,"Tubular cable lugs, CU, standard type with and without inspection hole",x,x,x,,x,,,x,x,x,,,,x,x,x,,,,x,,,x,,,,,https://cdn.klauke.com/resources/images/87EB606C-CCEC-489D-9C66-A77C2D6F9802
1R12MS,6,12,Cable lug,"Tubular cable lugs, CU, standard type with and without inspection hole",x,x,x,,x,,,x,x,x,,,,x,x,x,,,,x,,,x,,,,,https://cdn.klauke.com/resources/images/333CE33E-4224-4A60-80AF-4B4773C4AA9D
1R5,6,5,Cable lug,"Tubular cable lugs, CU, standard type with and without inspection hole",x,x,x,,,x,,,,,,,,,,,,,,,,,x,,x,,,https://cdn.klauke.com/resources/images/87EB606C-CCEC-489D-9C66-A77C2D6F9802
1R5MS,6,5,Cable lug,"Tubular cable lugs, CU, standard type with and without inspection hole",x,x,x,,,x,,,,,,,,,,,,,,,,,x,,x,,,https://cdn.klauke.com/resources/images/333CE33E-4224-4A60-80AF-4B4773C4AA9D
1R6,6,6,Cable lug,"Tubular cable lugs, CU, standard type with and without inspection hole",x,x,x,,,x,,,,,,,,,,,,,,,,,x,,x,,,https://cdn.klauke.com/resources/images/87EB606C-CCEC-489D-9C66-A77C2D6F9802
1R6MS,6,6,Cable lug,"Tubular cable lugs, CU, standard type with and without inspection hole",x,x,x,,,x,,,,,,,,,,,,,,,,,x,,x,,,https://cdn.klauke.com/resources/images/333CE33E-4224-4A60-80AF-4B4773C4AA9D
1R8,6,8,Cable lug,"Tubular cable lugs, CU, standard type with and without inspection hole",x,x,x,,,x,,,,,,,,,,,,,,,,,x,,x,,,https://cdn.klauke.com/resources/images/87EB606C-CCEC-489D-9C66-A77C2D6F9802
1R8MS,6,8,Cable lug,"Tubular cable lugs, CU, standard type with and without inspection hole",x,x,x,,,x,,,,,,,,,,,,,,,,,x,,x,,,https://cdn.klauke.com/resources/images/333CE33E-4224-4A60-80AF-4B4773C4AA9D
1R10,6,10,Cable lug,"Tubular cable lugs, CU, standard type with and without inspection hole",x,x,x,,,x,,,,,,,,,,,,,,,,,x,,x,,,https://cdn.klauke.com/resources/images/87EB606C-CCEC-489D-9C66-A77C2D6F9802
1R10MS,6,10,Cable lug,"Tubular cable lugs, CU, standard type with and without inspection hole",x,x,x,,,x,,,,,,,,,,,,,,,,,x,,x,,,https://cdn.klauke.com/resources/images/333CE33E-4224-4A60-80AF-4B4773C4AA9D
1R12,6,12,Cable lug,"Tubular cable lugs, CU, standard type with and without inspection hole",x,x,x,,,x,,,,,,,,,,,,,,,,,x,,x,,,https://cdn.klauke.com/resources/images/87EB606C-CCEC-489D-9C66-A77C2D6F9802
1R12MS,6,12,Cable lug,"Tubular cable lugs, CU, standard type with and without inspection hole",x,x,x,,,x,,,,,,,,,,,,,,,,,x,,x,,,https://cdn.klauke.com/resources/images/333CE33E-4224-4A60-80AF-4B4773C4AA9D
41R545,6,5,Cable lug,"Angled tubular cable lugs, Cu, 45° angled, standard type",x,x,x,,x,,,x,x,x,,,,x,x,x,,,,x,,,x,,,,,https://cdn.klauke.com/resources/images/3660B15C-AE6F-448B-B92E-0F6B3A36D229
