SKU,Tool Series,Product URL,Primary Image,Product Name
K354,K4 serie,https://www.klauke.com/gb/en/k-35-4-crimping-tool-for-interchangeable-inserts-6-150-mm,https://cdn.klauke.com/resources/images/C0F9A4EA-ED73-4860-AD7D-CD2BA0D61ED9,Crimping tool for interchangeable dies 6 - 150 mm²
EK345ML,K4 serie,,,
EK354CFB,K4 serie,https://www.klauke.com/gb/en/ek-35-4-battery-powered-crimping-tool-6-150-mm-1,https://cdn.klauke.com/resources/images/68C7A462-8AA7-46D4-AD1F-AE400FC255B5,Battery powered hydraulic crimping tool 6 - 150 mm² with Bosch battery
EK354CFM,K4 serie,https://www.klauke.com/gb/en/ek-35-4-battery-powered-crimping-tool-6-150-mm-1,https://cdn.klauke.com/resources/images/C06E1147-BA89-47C3-B9B4-FF39F2907E6C,Battery powered hydraulic crimping tool 6 - 150 mm² with Makita battery
K22,K22 Serie,https://www.klauke.com/gb/en/k-22-crimping-tool-for-interchangeable-inserts-6-300-mm,https://cdn.klauke.com/resources/images/D1B16305-E397-4106-9EDE-90971587D554,Crimping tool for interchangeable dies 6 - 300 mm²
HK6022,K22 Serie,https://www.klauke.com/gb/en/ek-60-22-hand-operated-hydraulic-crimping-tool-6-300-mm,https://cdn.klauke.com/resources/images/61DDF227-E317-4B0C-AEDF-DAD19490CA1C,Hand hydraulic crimping tool 6 - 300 mm²
EK6022CFB,K22 Serie,https://www.klauke.com/gb/en/ek-60-22-battery-powered-crimping-tool-6-300-mm,https://cdn.klauke.com/resources/images/DE4D4DF6-E50E-4224-A811-8C278C55346C,Battery powered hydraulic crimping tool 6 - 300 mm² with Bosch battery
EK6022CFM,K22 Serie,https://www.klauke.com/gb/en/ek-60-22-battery-powered-crimping-tool-6-300-mm,https://cdn.klauke.com/resources/images/859A8BCA-7A9B-47F6-98D3-29CE1DA3F76A,Battery powered hydraulic crimping tool 6 - 300 mm² with Makita battery
EKM6022CFB,K22 Serie,https://www.klauke.com/gb/en/ekm-60-22-battery-powered-crimping-tool-6-300-mm,https://cdn.klauke.com/resources/images/3FF1E042-A649-4187-BD03-08A1A53C7606,Battery powered hydraulic crimping tool 6 - 300 mm² with Bosch battery
EKM6022CFM,K22 Serie,https://www.klauke.com/gb/en/ekm-60-22-battery-powered-crimping-tool-6-300-mm,https://cdn.klauke.com/resources/images/7AFEAF4A-6939-4BE8-815C-ABAA5FBFCAFD,Battery powered hydraulic crimping tool 6 - 300 mm² with Makita battery
